Timestamp,PodStatus,Energy_Drift,Coherence,ESV_Valid_Ratio,Lineage_Epsilon,Quarantined,Governor_Delta,Shard_Count,Replay_Variance,Status
2025-11-18 15:55:43,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 15:56:45,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 15:57:47,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 15:58:48,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 15:59:50,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:00:52,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:01:54,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:02:55,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:03:57,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:04:59,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:06:00,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:07:01,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:08:03,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:09:05,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:10:07,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:11:09,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:12:10,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:13:12,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:14:13,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:15:15,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:16:17,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:17:19,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:18:20,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:19:22,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:20:25,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:21:27,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:22:28,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:23:30,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:24:32,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:25:33,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:26:31,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:27:32,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:28:34,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:29:35,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:30:37,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:31:38,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:32:40,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:33:42,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:34:43,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:35:45,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:36:46,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:37:49,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:38:51,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:39:53,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:40:54,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:41:56,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:42:57,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:43:59,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:45:01,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:46:02,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:47:04,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:48:05,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 16:49:07,True,0,1,1,0,False,0,0,0,DEGRADED
