Timestamp,PodStatus,Energy_Drift,Coherence,ESV_Valid_Ratio,Lineage_Epsilon,Quarantined,Governor_Delta,Shard_Count,Replay_Variance,Status
2025-11-18 22:56:32,True,0,1,1,0,False,0,0,0,HEALTHY
2025-11-18 22:57:33,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 22:58:35,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 22:59:36,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:00:37,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:01:38,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:02:39,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:03:41,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:04:42,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:05:44,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:06:45,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:07:46,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:08:48,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:09:49,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:10:50,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:11:51,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:12:52,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:13:53,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:14:55,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:15:57,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:16:58,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:18:00,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:19:01,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:20:03,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:21:04,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:22:05,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:23:07,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:24:09,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-18 23:25:10,True,0,1,1,0,False,0,0,0,DEGRADED
2025-11-19 03:00:37,True,0,1,1,0,False,0,0,0,DEGRADED
