Timestamp,PodStatus,Energy_Drift,Coherence,ESV_Valid_Ratio,Lineage_Epsilon,Quarantine_Events,Governor_Delta,Shard_Count,Replay_Variance,Status
2025-11-17 05:53:37,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:53:43,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:53:49,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:53:55,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:02,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:08,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:14,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:20,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:27,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:33,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:39,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:45,True,0.0,1.0,1.0,0.0,0,0.0,0,0.0,HEALTHY
2025-11-17 05:54:52,True,0.0,1.0,1.0,0.0,6,0.0,0,0.0,DEGRADED
2025-11-17 05:54:58,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:55:04,True,0.0,1.0,1.0,0.0,13,0.0,0,0.0,DEGRADED
2025-11-17 05:55:11,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:55:17,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:55:23,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:55:29,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
